query_id_llm,chatgpt_corrected,deepseek_corrected,gemini_corrected
318_stackoverflow,0,1,1
319_chatgpt2025,1,1,1
319_gemini,1,1,1
32_deepseek,1,1,1
320_gemini,1,1,1
320_stackoverflow,1,1,0
321_chatgpt,0,1,1
321_gemini,1,1,1
321_stackoverflow,0,1,1
324_stackoverflow,1,1,1
325_chatgpt,1,1,1
325_chatgpt2025,1,1,1
325_deepseek,1,1,1
325_gemini,0,0,1
325_stackoverflow,1,1,1
326_stackoverflow,1,1,1
327_stackoverflow,1,1,1
328_chatgpt2025,1,1,1
328_deepseek,1,1,1
329_chatgpt2025,1,1,1
329_deepseek,1,1,1
329_gemini,1,1,1
329_stackoverflow,0,0,0
33_chatgpt,1,1,1
33_chatgpt2025,1,1,1
33_stackoverflow,0,0,1
330_chatgpt,1,0,1
330_gemini,1,1,1
331_stackoverflow,1,1,1
333_gemini,1,1,1
334_gemini,1,1,1
335_chatgpt,1,1,1
335_deepseek,1,1,1
336_chatgpt2025,1,1,1
336_deepseek,1,1,1
336_stackoverflow,1,1,1
337_stackoverflow,1,1,1
338_chatgpt2025,1,1,1
338_gemini,1,1,1
338_stackoverflow,1,1,1
339_stackoverflow,0,0,1
34_stackoverflow,1,1,1
340_stackoverflow,1,0,0
341_chatgpt2025,0,1,0
341_deepseek,1,1,1
341_stackoverflow,1,1,1
342_deepseek,1,1,1
342_gemini,0,1,1
342_stackoverflow,1,0,0
343_stackoverflow,0,0,0
344_deepseek,1,1,1
346_deepseek,0,0,0
346_stackoverflow,1,1,1
347_chatgpt,1,1,1
347_chatgpt2025,1,1,1
347_deepseek,1,1,1
347_gemini,1,1,1
347_stackoverflow,1,1,1
349_stackoverflow,0,1,1
35_chatgpt2025,1,1,1
35_stackoverflow,1,1,1
350_chatgpt,1,1,1
350_chatgpt2025,0,1,0
350_deepseek,0,0,1
350_gemini,0,1,0
350_stackoverflow,0,0,0
351_deepseek,0,1,0
351_stackoverflow,0,1,1
352_gemini,0,1,1
352_stackoverflow,0,1,1
353_stackoverflow,1,1,1
354_gemini,1,1,1
356_chatgpt2025,1,1,1
356_stackoverflow,1,1,1
357_chatgpt,1,1,1
357_deepseek,1,1,1
357_stackoverflow,1,1,1
36_gemini,1,1,1
36_stackoverflow,1,1,1
38_chatgpt,1,1,1
38_chatgpt2025,0,1,0
38_deepseek,0,0,1
38_gemini,0,0,1
39_chatgpt,1,1,1
39_deepseek,1,1,1
39_stackoverflow,1,1,1
4_stackoverflow,0,1,1
41_deepseek,1,1,1
41_gemini,0,1,1
41_stackoverflow,0,0,0
43_chatgpt2025,1,1,1
43_deepseek,1,1,1
45_stackoverflow,0,1,1
46_chatgpt,0,0,0
46_gemini,0,0,0
46_stackoverflow,1,1,0
47_stackoverflow,1,1,1
48_chatgpt,1,1,1
48_chatgpt2025,1,1,1
48_deepseek,1,1,1
48_gemini,1,1,1
48_stackoverflow,0,0,1
5_chatgpt,1,0,0
5_chatgpt2025,0,0,0
5_deepseek,0,0,1
5_gemini,0,0,0
50_chatgpt,1,1,1
50_deepseek,0,0,1
51_chatgpt2025,1,1,1
51_deepseek,0,1,1
51_gemini,1,1,1
52_chatgpt2025,1,1,1
52_deepseek,1,1,1
53_chatgpt,1,1,1
53_chatgpt2025,1,1,1
53_stackoverflow,1,1,1
55_deepseek,0,1,0
55_stackoverflow,1,1,0
56_chatgpt2025,1,1,1
56_deepseek,1,1,1
56_stackoverflow,0,1,0
57_deepseek,1,1,1
57_stackoverflow,0,0,1
58_chatgpt,1,1,1
59_chatgpt,1,1,1
59_stackoverflow,1,1,1
6_chatgpt2025,0,1,1
6_deepseek,0,1,1
6_gemini,1,1,1
60_chatgpt,1,1,1
61_deepseek,0,1,0
61_stackoverflow,1,1,1
63_chatgpt2025,1,1,1
63_deepseek,1,1,1
63_gemini,1,1,1
63_stackoverflow,1,1,1
64_chatgpt,1,1,1
64_stackoverflow,1,1,1
65_stackoverflow,1,0,1
66_chatgpt,1,1,1
66_stackoverflow,1,1,1
67_stackoverflow,1,1,1
68_chatgpt2025,0,1,0
68_deepseek,0,0,0
68_stackoverflow,1,1,1
69_deepseek,1,1,1
70_stackoverflow,0,0,1
71_stackoverflow,0,1,0
72_stackoverflow,0,0,0
74_chatgpt2025,1,1,1
74_stackoverflow,1,1,1
75_chatgpt,0,0,0
75_deepseek,1,1,1
75_stackoverflow,0,0,0
76_gemini,1,1,1
76_stackoverflow,1,1,1
8_chatgpt,1,1,1
8_gemini,0,0,0
80_stackoverflow,1,1,1
81_stackoverflow,0,0,1
83_stackoverflow,1,1,1
84_gemini,1,1,1
85_deepseek,1,1,1
85_stackoverflow,1,1,1
87_gemini,1,1,1
88_chatgpt,0,0,1
88_chatgpt2025,0,0,0
88_deepseek,0,0,1
88_gemini,0,0,1
88_stackoverflow,0,0,0
9_deepseek,1,1,1
9_stackoverflow,0,1,0
90_chatgpt,0,0,0
90_deepseek,0,0,0
91_deepseek,1,1,1
91_stackoverflow,1,1,0
92_stackoverflow,1,1,1
93_chatgpt2025,1,1,1
93_gemini,1,1,1
93_stackoverflow,1,1,1
94_chatgpt,1,1,1
94_gemini,1,1,1
94_stackoverflow,1,1,1
95_chatgpt2025,1,1,1
95_stackoverflow,1,1,1
96_stackoverflow,1,1,0
97_chatgpt2025,1,1,1
97_gemini,1,0,1
97_stackoverflow,1,1,1
